,SERIAL_NO,DICT_NO,C_NO,SCC,NO_P,FC,TSP_EMI,PM_EMI,X_BLANK1,PM25_EMI,SOX_EMI,NOX_EMI,THC_EMI,NMHC_EMI,CO_EMI,PB_EMI,COMP_KIND1,WGS84_E,WGS84_N,ORI_QU1,X_BLANK2,DIA,X_BLANK3,HEI,X_BLANK4,TEMP,X_BLANK5,VEL,ASSUME_Q,ASSUME_D,ASSUME_H,ASSUME_T,ASSUME_V,NO_S,ASSUME_HD,HD1,ASSUME_DW,DW1,ASSUME_WY,WY1,X_BLANK6,X_BLANK7,X_BLANK8,X_BLANK9,X_BLANK10,X_BLANK11,EQ_1,A_NAME1,EQ_2,A_NAME2,EQ_3,A_NAME3,EQ_4,A_NAME4,EQ_5,A_NAME5,TSP_EFF,TSP_EFF1,SOX_EFF,NOX_EFF,VOC_EFF,CO_EFF,PB_EFF,ID_AREA,COMP_NAM,ZS,TSP_RANK,SOX_RANK,NOX_RANK,VOC_RANK,CO_RANK,PB_RANK,鄉鎮代碼,鄉鎮名稱,縣市代碼,縣市名稱,AREA,TOWNID,TOWNCODE,TOWNENG,COUNTYID,COUNTYCODE
0,13950,4212,E2600152,30200733,E101,,0.515,0.394,0.0,0.283,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35918,22.78122,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P101,,11,,6,,48,,0,,,0,0,A101,脈動式袋式集塵器,,　,,　,,　,,　,95.6,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
1,13951,4212,E2600152,30200733,E102,,0.701,0.537,0.0,0.386,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35915,22.78075,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P102,,11,,6,,48,,0,,,0,0,A102,脈動式袋式集塵器,,　,,　,,　,,　,96.3,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,U,U,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
2,13952,4212,E2600152,30200733,E103,,0.413,0.316,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35921,22.78121,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P103,,11,,6,,48,,0,,,0,0,A103,空氣逆洗式袋式集塵器,,　,,　,,　,,　,99.1,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
3,13953,4212,E2600152,30200733,E104,,0.076,0.058,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35915,22.7812,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P104,,11,,6,,48,,0,,,0,0,A104,空氣逆洗式袋式集塵器,,　,,　,,　,,　,99.3,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
4,13954,4212,E2600152,30200733,E104,,0.085,0.065,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35913,22.7812,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P105,,11,,6,,48,,0,,,0,0,A105,空氣逆洗式袋式集塵器,,　,,　,,　,,　,96.1,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
5,13955,4212,E2600152,30200733,E105,,0.071,0.054,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35912,22.78119,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P106,,11,,6,,48,,0,,,0,0,A106,脈動式袋式集塵器,,　,,　,,　,,　,97.4,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
6,13956,4212,E2600152,30200733,E105,,0.056,0.043,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,2521,120.35908,22.78119,15.0,,0.86,,12.0,,120,,0.4,*,,,*,*,P107,,11,,6,,48,,0,,,0,0,A107,脈動式袋式集塵器,,　,,　,,　,,　,98.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,C,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
7,13957,4212,E2600152,,E201,,0.0,0.0,0.0,0.0,0.0,0.0,5.043,4.992,0.0,0.0,2521,120.35724,22.78121,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P201,,10,,6,,48,,0,,,0,0,A201,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,U,U,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
8,13958,4212,E2600152,,E201,,0.0,0.0,0.0,0.0,0.0,0.0,3.924,3.884,0.0,0.0,2521,120.35721,22.78121,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P202,,10,,6,,48,,0,,,0,0,A202,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,U,U,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
9,13959,4212,E2600152,39999994,E202,,0.0,0.0,0.0,0.0,0.0,0.0,6.164,6.101,0.0,0.0,2521,120.35555,22.78117,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P203,,10,,6,,48,,0,,,0,0,A203,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
10,13960,4212,E2600152,39999994,E202,,0.0,0.0,0.0,0.0,0.0,0.0,5.322,5.268,0.0,0.0,2521,120.35553,22.78118,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P204,,10,,6,,48,,0,,,0,0,A204,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
11,13961,4212,E2600152,39999994,E203,,0.0,0.0,0.0,0.0,0.0,0.0,5.886,5.826,0.0,0.0,2521,120.35914,22.78107,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P205,,10,,6,,48,,0,,,0,0,A205,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
12,13962,4212,E2600152,39999994,E203,,0.0,0.0,0.0,0.0,0.0,0.0,7.006,6.935,0.0,0.0,2521,120.35912,22.78107,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P206,,10,,6,,48,,0,,,0,0,A206,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,D,D,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
13,13963,4212,E2600152,,E204,,0.0,0.0,0.0,0.0,0.0,0.0,6.955,6.885,0.0,0.0,2521,120.35913,22.78073,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P207,,10,,6,,48,,0,,,0,0,A207,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,U,U,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
14,13964,4212,E2600152,,E204,,0.0,0.0,0.0,0.0,0.0,0.0,6.399,6.334,0.0,0.0,2521,120.35912,22.78073,15.0,,0.55,,8.0,,100,,1.1,*,,,*,*,P208,,10,,6,,48,,0,,,0,0,A208,吸附設備,,　,,　,,　,,　,0.0,0.0,0.0,0.0,91.5,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,U,U,U,C,U,U,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
15,13965,4212,E2600152,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.379,10.353,0.0,0.0,2521,120.36065,22.77932,0.0,,0.0,,0.0,,0,,0.0,,,,,,Y000,*,24,*,7,*,48,,0,,,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,中國鋼鐵結構股份有限公司。,0,-,-,-,U,-,-,4212,燕巢區,42,高雄市,高雄市燕巢區,E21,64000210,Yanchao District,E,64000
16,24806,211,E5600841,,,,0.479,0.305,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.34796,22.55435,0.0,,0.0,,0.0,,0,,0.0,,,,,,ML3,*,24,*,7,*,48,,0,,,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,-,-,-,-,-,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
17,24807,211,E5600841,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.3519,22.55475,15.0,,4.0,,36.3,,120,,0.0,*,,,*,*,P016,*,24,*,7,*,48,,0,,,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,-,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
18,24808,211,E5600841,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.34796,22.55435,1.0,,0.5,,10.0,,100,,0.1,*,*,*,*,*,PA11,*,24,*,7,*,48,,0,,,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,-,-,-,-,-,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
19,24809,211,E5600841,30300809,EB15,,41.521,21.176,0.0,14.452,0.0,0.0,0.0,0.0,0.0,0.024,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,8,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
20,24810,211,E5600841,30300809,EB16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,8,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
21,24811,211,E5600841,30300809,EB17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,8,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
22,24812,211,E5600841,30300809,EB18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411,120.35095,22.54974,3489.6,,2.3,,28.1,,43,,16.8,,,,,,PB12,,8,,7,,51,,0,,,0,0,AB12,脈動式袋式集塵器,,　,,　,,　,,　,99.74,0.0,0.0,0.0,0.0,0.0,0.0,EC,中國鋼鐵股份有限公司。,0,B,A,A,D,D,D,211,小港區,2,高雄市,高雄市小港區,E11,64000110,Xiaogang District,E,64000
