溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,一甲排水,1,,,,臺南市,Q140631,仁德區,,,,三爺溪排水,,直轄市管區域排水,
,,,一坑,1,,,,宜蘭縣,,"三星鄉,大同鄉",,蘭陽溪,,清水溪,主流,,
,,,一溪,1,,,,高雄市,,那瑪夏區,,高屏溪,,楠梓仙溪,支流,,
,,,一號溪,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,丁子漏溪,1,,,,花蓮縣,,"光復鄉,豐濱鄉",,,,,主流,,
,,,丁子蘭坑,1,,丁子蘭溪,,新北市,,雙溪區,,,,,支流,,
,,,丁子蘭溪,1,,丁子蘭坑,,新北市,,雙溪區,,,,,主流,,
,,,丁壩,n,,,,,,,,,,,,,
,,,七公圳,1,,,,臺中市,,后里區,,,,,主流,,
,,,七分坑,1,,,,臺中市,,"豐原區,新社區",,,,,主流,,
,,,七分溝排水支線,1,,,,彰化縣,,線西鄉,,,,慶安水道,,縣(市)管區域排水,
,,,七打高溪,1,,,,屏東縣,,獅子鄉,,,,,支流,,
縣市管河川,,181000,七里溪,2,Q10864811,十里溪,,屏東縣,,"獅子鄉,枋山鄉",,,,,主流,,
,,,七里溪,2,,,,臺東縣,,東河鄉,,,,太平洋,,,
,,,七佳溪,1,,,,屏東縣,,"來義鄉,春日鄉",,,,,主流,,
,,,七股坑,1,,,,苗栗縣,,卓蘭鎮,,,,,支流,,
,,,七股排水,1,,,,臺南市,,七股區,,,,劉厝排水,,直轄市管區域排水,
,,,七股溪,1,Q35331776,劉厝排水,,臺南市,,"佳里區,七股區",,七股溪,,,主流,,
,,,七星堆埤,1,,,,桃園市,,大園區,,,,,主流,,
,,,七星排水,1,,,,臺中市,,太平區,,,,頭汴坑溪,,直轄市管區域排水,
,,,七星溪,1,,,,臺中市,,南屯區,,,,文山溪,,直轄市管區域排水,
,,,七星潭排水,1,,,,花蓮縣,,新城鄉,,,,太平洋,,縣(市)管區域排水,
,,,七家灣溪,1,Q10864577,,,臺中市,,和平區,,大甲溪,,大甲溪,主流,,
,,,七張犁溪環中路截水道,1,,,,臺中市,,北屯區、西屯區、潭子區,,,,港尾溪,,直轄市管區域排水,
,,,七番埤,1,,,,高雄市,,仁武區,,,,,主流,,
,,,七結排水,1,,,,宜蘭縣,,礁溪鄉,,,,得子口溪,,縣(市)管區域排水,
,,,七嘉排水支線,1,,,,彰化縣,,伸港鄉和美鎮,,,,六股排水幹線,,縣(市)管區域排水,
,,,九十六甲埤放水排水路,1,,,,嘉義縣,,新港鄉、民雄鄉,,,,朴子溪,,縣(市)管區域排水,
,,,九仙溪,1,,,,南投縣,,仁愛鄉,,,,,支流,,
,,,九芎坑溪,1,#N/A,,,嘉義縣,,梅山鄉,,北港溪,,三疊溪,主流,,
,,,九芎林圳,1,,,,南投縣,,埔里鎮,,,,,支流,,
,,,九芎埤,1,,,,嘉義縣,,"太保市,水上鄉",,,,,主流,,
,,,九芎湖,1,,,,宜蘭縣,,三星鄉,,,,,主流,,
,,,九芎湖幹線,1,,,,新竹縣,,新埔鎮,,,,霄裡溪,,縣(市)管區域排水,
,,,九車籠排水,1,,,,苗栗縣,,後龍鎮、造橋鄉,,,,中港溪,,縣(市)管區域排水,
,,,九車籠排水支線,1,,,,苗栗縣,,造橋鄉,,,,九車籠排水,,縣(市)管區域排水,
,,,九岸溪,1,#N/A,金仔溝溪,,花蓮縣,,富里鄉,,秀姑巒溪,,,主流,,
,,,九狗溪,1,,,,屏東縣,,"崁頂鄉,東港鎮",,,,,主流,,
,,,九崁溝,1,,,,"臺南市,高雄市",,"龍崎區,田寮區",,,,,主流,,
縣市管河川,,202000,九棚溪,1,Q10878902,,,屏東縣,,"滿州鄉,牡丹鄉",,九棚溪,,,,,
,,,九湖圳,1,,,,苗栗縣,,銅鑼鄉,,,,,支流,,
,,,九番埤,1,,,,高雄市,,仁武區,,,,,主流,,
,,,九番埤排水,1,,,,高雄市,,仁武區,,,,北屋排水,,直轄市管區域排水,
,,,九塊排水支線,1,,,,屏東縣,,九如鄉,,,,虎尾溝排水幹線,,縣(市)管區域排水,
,,,九號排水支線,1,,,,屏東縣,,鹽埔鄉,,,,武洛溪排水幹線,,縣(市)管區域排水,
,,,九鬮排水,1,,,,高雄市,,阿蓮區,,,,土庫排水,,直轄市管區域排水,
,,,二八張溝,1,,,,,,,,,,,,,
,,,二十份排水,1,,,,苗栗縣,,三義鄉,,,,水尾溪排水,,縣(市)管區域排水,
